ts_ms,dir,kind,msg_type,len,hex_short
1772455344924,TX,write,config_dissem,35,08 01 3A 1F 0A 0C 08 01 38 01 40 03 48 03 50 01 58 01 10 01 2A 0D 08 23 …
1772455345033,TX,write,version_retrieve,22,08 01 4A 12 0A 0C 08 01 38 02 40 03 48 03 50 01 58 01 10 01 20 01
1772455345055,RX,notify,current_version_upload,58,08 01 52 36 0A 1C 08 01 12 0C 43 34 42 44 36 41 30 31 30 32 30 33 30 01 …
1772455345174,TX,write,config_retrieve,22,08 01 22 12 0A 0C 08 01 38 03 40 03 48 03 50 01 58 01 10 01 20 01
1772455345189,RX,notify,config_hash_upload,42,08 01 2A 26 0A 1C 08 01 12 0C 43 34 42 44 36 41 30 31 30 32 30 33 30 01 …
1772455345193,TX,write,data_selection,39,08 01 1A 23 0A 0C 08 01 38 04 40 03 48 03 50 01 58 01 10 01 22 02 08 0D …
1772455345221,RX,notify,data_upload,196,08 01 12 BF 01 0A 1C 08 01 12 0C 43 34 42 44 36 41 30 31 30 32 30 33 30 …
1772455345226,TX,write,data_selection,39,08 01 1A 23 0A 0C 08 01 38 05 40 03 48 03 50 01 58 01 10 01 22 02 08 0D …
1772455345254,RX,notify,data_upload,196,08 01 12 BF 01 0A 1C 08 01 12 0C 43 34 42 44 36 41 30 31 30 32 30 33 30 …
1772455345261,TX,write,data_selection,39,08 01 1A 23 0A 0C 08 01 38 06 40 03 48 03 50 01 58 01 10 01 22 02 08 0D …
1772455345280,RX,notify,data_upload,196,08 01 12 BF 01 0A 1C 08 01 12 0C 43 34 42 44 36 41 30 31 30 32 30 33 30 …
1772455345284,TX,write,data_selection,39,08 01 1A 23 0A 0C 08 01 38 07 40 03 48 03 50 01 58 01 10 01 22 02 08 0D …
1772455345311,RX,notify,data_upload,196,08 01 12 BF 01 0A 1C 08 01 12 0C 43 34 42 44 36 41 30 31 30 32 30 33 30 …
1772455345315,TX,write,data_selection,39,08 01 1A 23 0A 0C 08 01 38 08 40 03 48 03 50 01 58 01 10 01 22 02 08 0D …
1772455345341,RX,notify,data_upload,196,08 01 12 BF 01 0A 1C 08 01 12 0C 43 34 42 44 36 41 30 31 30 32 30 33 30 …
1772455345346,TX,write,data_selection,39,08 01 1A 23 0A 0C 08 01 38 09 40 03 48 03 50 01 58 01 10 01 22 02 08 0D …
